"ipm_id"	"kernel_id"	"formula"	"model_family"	"domain_start"	"domain_end"
"aaa121"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa122"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa122"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa123"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa123"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa124"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa124"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa125"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa125"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa126"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa126"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa127"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa127"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa128"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
