"ipm_id"	"state_variable"	"domain"	"lower"	"upper"	"kernel_id"	"notes"
"aaa324"	"size"	"size_all"	0.6067623	9.621902	"K; P; F; C"	NA
"aaa325"	"size"	"size_all"	1	81	"K_yr; P_yr; F_yr; goSB_yr; goCont_yr"	NA
"aaa326"	"size"	"size_all"	-2	2	"K; P; F"	NA
"aaa327"	"size"	"size_all"	0.92	15.28	"K; P; F"	NA
"aaa328"	"rcd"	"rcd_all"	-0.5	3.5	"K; P; F"	NA
"aaa329"	"rcd"	"rcd_all"	-0.5	3.5	"K; P; F"	NA
"aaa330"	"size"	"size_all"	1	12	"K; P; F"	NA
"aaa331"	"size"	"size_all"	1	12	"K; P; F"	NA
"aaa332"	"lnrosette"	"lnrosette_all"	0.989	4.553	"K; P; F"	NA
"aaa333"	"lnrosette"	"lnrosette_all"	2.039	5.828	"K; P; F"	NA
"aaa334"	"seedling"	"size_single"	0.095	0.5	"K_fireAll_PG_PH; Psingle_fireAll_PG_PH; Pramet_fireAll_PG_PH; GSR_fireAll_PG_PH; F_fireAll_PG_PH; C_fireAll_PG_PH"	NA
"aaa334"	"ramet"	"size_ramet"	0.095	1.575	"K_fireAll_PG_PH; Psingle_fireAll_PG_PH; Pramet_fireAll_PG_PH; GSR_fireAll_PG_PH; F_fireAll_PG_PH; C_fireAll_PG_PH"	NA
"aaa335"	"dbh"	"dbh_all"	0.45	231	"K_all; K; P; F; C; goCont; goSB"	NA
"aaa336"	"dbh"	"dbh_all"	0.27	231	"K_all; K; P; F; C; goCont; goSB"	NA
"aaa337"	"size"	"size_all"	2.96	405.6	NA	NA
"aaa338"	"size"	"size_all"	2.96	405.6	NA	NA
"aaa339"	"size"	"size_all"	1.2	624	NA	NA
"aaa340"	"size"	"size_all"	1.2	624	NA	NA
"aaa341"	"size"	"size_all"	1.26	482.9	"K; P; F"	NA
"aaa342"	"size"	"size_all"	1.26	482.9	"K; P; F"	NA
