"ipm_id","demographic_parameter","state_variable","parameter_name","parameter_value"
"aaaa27","Survival","size","mi_2",-2
"aaaa27","Survival","size","mi_3",-2
"aaaa27","Survival","size","mi_4",0.62
"aaaa27","Survival","size","mi_5",0.62
"aaaa27","Survival","size","ms",3.26
"aaaa27","Survival","size","mp",-0.37
"aaaa27","Growth","size","gi_1",0.036
"aaaa27","Growth","size","gi_2",0.061
"aaaa27","Growth","size","gi_3",0.08
"aaaa27","Growth","size","gi_4",0.073
"aaaa27","Growth","size","gi_5",0.1
"aaaa27","Growth","size","gs_1",0.993
"aaaa27","Growth","size","gs_2",0.99
"aaaa27","Growth","size","gs_3",0.987
"aaaa27","Growth","size","gs_4",0.989
"aaaa27","Growth","size","gs_5",0.984
"aaaa27","Growth","constant","g_phi",0.55
"aaaa27","Growth","constant","g_gamma",-0.67
"aaaa28","Survival","size","mi_1",-0.13
"aaaa28","Survival","size","mi_2",-0.13
"aaaa28","Survival","size","mi_3",-0.13
"aaaa28","Survival","size","mi_4",1.51
"aaaa28","Survival","size","mi_5",1.51
"aaaa28","Survival","size","mi_6",1.51
"aaaa28","Survival","size","ms",1.62
"aaaa28","Survival","size","mp",-0.17
"aaaa28","Growth","size","gi_1",0.03
"aaaa28","Growth","size","gi_2",0.076
"aaaa28","Growth","size","gi_3",0.074
"aaaa28","Growth","size","gi_4",0.139
"aaaa28","Growth","size","gi_5",0.1
"aaaa28","Growth","size","gi_6",0.097
"aaaa28","Growth","size","gs_1",0.995
"aaaa28","Growth","size","gs_2",0.987
"aaaa28","Growth","size","gs_3",0.991
"aaaa28","Growth","size","gs_4",0.979
"aaaa28","Growth","size","gs_5",0.986
"aaaa28","Growth","size","gs_6",0.987
"aaaa28","Growth","constant","g_phi",1.02
"aaaa28","Growth","constant","g_gamma",-0.72
"aaaa29","Survival","size","mi_1",-3.6
"aaaa29","Survival","size","mi_2",-3.6
"aaaa29","Survival","size","mi_3",-3.6
"aaaa29","Survival","size","mi_4",0.4
"aaaa29","Survival","size","mi_5",0.4
"aaaa29","Survival","size","mi_6",0.4
"aaaa29","Survival","size","ms",3.79
"aaaa29","Survival","size","mp",-0.39
"aaaa29","Growth","size","gi_1",0.105
"aaaa29","Growth","size","gi_2",0.099
"aaaa29","Growth","size","gi_3",0.153
"aaaa29","Growth","size","gi_4",0.141
"aaaa29","Growth","size","gi_5",0.129
"aaaa29","Growth","size","gi_6",0.168
"aaaa29","Growth","size","gs_1",0.973
"aaaa29","Growth","size","gs_2",0.981
"aaaa29","Growth","size","gs_3",0.971
"aaaa29","Growth","size","gs_4",0.977
"aaaa29","Growth","size","gs_5",0.982
"aaaa29","Growth","size","gs_6",0.977
"aaaa29","Growth","constant","g_phi",0.26
"aaaa29","Growth","constant","g_gamma",-0.32
"aaaa30","Survival","size","mi_1",-1.88
"aaaa30","Survival","size","mi_2",-1.88
"aaaa30","Survival","size","mi_3",-1.88
"aaaa30","Survival","size","mi_4",0.23
"aaaa30","Survival","size","mi_5",0.23
"aaaa30","Survival","size","mi_6",0.23
"aaaa30","Survival","size","ms",2.72
"aaaa30","Survival","size","mp",-0.26
"aaaa30","Growth","size","gi_1",0.05
"aaaa30","Growth","size","gi_2",0.05
"aaaa30","Growth","size","gi_3",0.048
"aaaa30","Growth","size","gi_4",0.029
"aaaa30","Growth","size","gi_5",0.072
"aaaa30","Growth","size","gi_6",0.092
"aaaa30","Growth","size","gs_1",0.99
"aaaa30","Growth","size","gs_2",0.992
"aaaa30","Growth","size","gs_3",0.993
"aaaa30","Growth","size","gs_4",0.997
"aaaa30","Growth","size","gs_5",0.99
"aaaa30","Growth","size","gs_6",0.987
"aaaa30","Growth","constant","g_phi",0.67
"aaaa30","Growth","constant","g_gamma",-0.65
"aaaa31","Survival","size","mi_1",-3.13
"aaaa31","Survival","size","mi_2",-3.13
"aaaa31","Survival","size","mi_3",-3.13
"aaaa31","Survival","size","mi_4",1.85
"aaaa31","Survival","size","mi_5",1.85
"aaaa31","Survival","size","mi_6",1.85
"aaaa31","Survival","size","ms",3.66
"aaaa31","Survival","size","mp",-0.41
"aaaa31","Growth","size","gi_1",0.049
"aaaa31","Growth","size","gi_2",0.076
"aaaa31","Growth","size","gi_3",0.142
"aaaa31","Growth","size","gi_4",0.132
"aaaa31","Growth","size","gi_5",0.155
"aaaa31","Growth","size","gi_6",0.139
"aaaa31","Growth","size","gs_1",0.99
"aaaa31","Growth","size","gs_2",0.987
"aaaa31","Growth","size","gs_3",0.976
"aaaa31","Growth","size","gs_4",0.981
